title,pubdate,source
"ჰოჯესი: თეთრი სახლი დარწმუნებულია, რომ რუსეთი ბირთვულ იარაღს არ გამოიყენებს",2023-02-15 13:30:14.283+00,formulanews.ge
"ელისო ბოლქვაძე გელათზე: საერთოდ, უნდა ითქვას, რომ სიძველის გადარჩენა არ არის ადვილი",2023-02-15 13:30:49+00,radiotavisupleba.ge
"ლიბიის სანაპიროსთან მიგრანტების ნავის ჩაძირვას, სავარაუდოდ, 73 ადამიანი ემსხვერპლა",2023-02-15 13:31:37+00,tabula.ge
ევროპარლამენტის უსამართლო რეზოლუციები ზიანს მხოლოდ მათ რეპუტაციას მიაყენებს - ეკა სეფაშვილი,2023-02-15 13:34:00+00,tvpirveli.ge
"15 მარტიდან გაიზრდება იმ მედიკამენტების ჩამონთვალი, რომელზეც რეფერენტული ფასები დაწესდება",2023-02-15 13:35:00+00,rustavi2.ge
გელათის პრობლემებთან დაკავშირებული სამუშაო ჯგუფის სხდომა 1 კვირით გადაიდო ,2023-02-15 13:35:58+00,mtavari.tv
"ნიკა ვაჩეიშვილი - პირველი ხმა უნდა ჰქონდეს არა ჩინოვნიკს, არამედ სპეციალისტს, რომლის რჩევასაც ყურს დაუგდებს ჩინოვნიკი, ეს ასე უნდა დალაგდეს - გელათი კატასტროფამდე სიჯიუტემ მიიყვანა",2023-02-15 13:38:00+00,ipn.ge
მარიამ ქვრივიშვილი თბილისის საერთაშორისო აეროპორტში მიმდინარე და დაგეგმილ სამუშაოებს გაეცნო,2023-02-15 13:40:13.403+00,imedinews.ge
"რუსეთი 11 ქვეყანასთან უვიზო, 6-თან გამარტივებული სავიზო რეჟიმის შემოღებაზე მუშაობს",2023-02-15 13:40:15.521+00,formulanews.ge
დიდი ბრიტანეთის თავდაცვის მინისტრი - უკრაინაში ომში რუსეთის არმიის 97%-ია ჩართული,2023-02-15 13:45:00+00,ipn.ge
„ლელოს“ ლიდერები ევროკავშირის წევრი სახელმწიფოების ელჩებს და დიპლომატიური კორპუსის წარმომადგენლებს ხვდებიან,2023-02-15 13:45:00+00,ipn.ge
"""არ მოიქცეთ ბანანის, ჯუნგლის კანონით"" - მანჯგალაძე ხელისუფლებას ",2023-02-15 13:45:00+00,tvpirveli.ge
"შუაგულ ევროპაში წარმოებს ბიძინა ივანიშვილის რეკეტი, ევროპული მედია ტოტალურ ცენზურას ექვემდებარება-""გამიჯნულები""",2023-02-15 13:45:15+00,mtavari.tv
"რუსთავში ცენტრალური ქუჩების პარალელურად, შიდასაუბნო სივრცეების მოწყობის სამუშაოები მიმდინარეობს",2023-02-15 13:46:00+00,ipn.ge
"ქუჩაშიც და საკონსტიტუციო სასამართლოშიც - ""ვოლტის"" კურიერების პროტესტი ",2023-02-15 13:46:36+00,radiotavisupleba.ge
სოფელ კოხნარში მდებარე იუსტიციის სახლში ქურდობა მოხდა,2023-02-15 13:47:00+00,ipn.ge
არავის ვაპატიებთ ჩვენი პარტიის აკრძალვას - ლეიბორისტები ევროსასამართლოში ჩივიან,2023-02-15 13:47:00+00,tvpirveli.ge
"დავით მათიკაშვილი: თურმე არ უნდა მიექცეს ყურადღება არანაირ სასამართლო გადაწყვეტილებებს და მხოლოდ გათამაშებული სცენარებით უნდა იმოქმედოს დემოკრატიულად არჩეულმა ხელისუფლებამ იმიტომ, რომ ასე მოსწონს კუბილიუსს",2023-02-15 13:50:00+00,imedinews.ge
ზურაბ აზარაშვილი: მიწისძვრით დაზარალებულებისთვის თურქეთში საქართველოდან 7 სატვირთო მანქანით 100 ტონაზე მეტი ტვირთი გაიგზავნა,2023-02-15 13:50:07.39+00,imedinews.ge
"ლევან იოსელიანი: საქართველოში ისეთმა ინიციატივებმა, რომლებმაც შეიძლება არასამთავრობო ორგანიზაციებს შეზღუდვები დაუწესოს, შესაძლოა რთული გარემო შექმნას",2023-02-15 13:50:07.39+00,imedinews.ge
ევროკომისიამ რუსეთის წინააღმდეგ სანქციების მე-10 პაკეტი წარადგინა,2023-02-15 13:50:12.584+00,formulanews.ge
დიმიტრი ხუნდაძე ახალ კანონპროექტზე - ოპოზიციამ ისევ იჩქარა და ცხვირი წაიტეხა,2023-02-15 13:54:00+00,ipn.ge
"თავდაცვისა და უშიშროების კომიტეტის ინიციატივით გამართულ სამუშაო შეხვედრაზე ""თავდაცვის კოდექსის"" პროექტი განიხილეს",2023-02-15 13:54:00+00,rustavi2.ge
"ბადრი ჯაფარიძე - კუბილიუსის განცხადებას მუქარად არ მივიჩნევ - ევროკავშირში წევრობა ნიშნავს, რომ ევროკავშირში მიღებული თამაშის წესებით უნდა ითამაშო",2023-02-15 13:55:00+00,ipn.ge
"დეგნანის გაწვევას ლეიბორისტები ვითხოვდით, მადლობა ბაიდენს - ნათელაშვილი",2023-02-15 13:56:00+00,tvpirveli.ge
"200 მლნ ნაცვლად, 90 მლნ დაგვაკისრეს - კალაძე ""ინტერრაოსთან"" დავაზე",2023-02-15 13:56:00+00,tvpirveli.ge
კმარა ჩვენი ოჯახის შეურაცხყოფა და ღლიცინი მძიმე მდგომარეობაში მყოფ ადამიანზე - გიორგი სააკაშვილი პენიტენციურის კადრებზე,2023-02-15 13:58:23+00,mtavari.tv
"""არავითარი ტანჯვა მაგას არ განუცდია"" - 9 წლის ბავშვზე სექსუალურ ძალადობაში მსჯავრდებული  მოზარდის ხელახალ ფსიქიატრიულ ექსპერტიზას ითხოვს",2023-02-15 13:59:17+00,radiotavisupleba.ge
"""არავითარი ტანჯვა მაგას არ განუცდია"" - 9 წლის ბავშვზე სექსუალურ ძალადობაში მსჯავრდებული  ხელახალ ფსიქიატრიულ ექსპერტიზას ითხოვს",2023-02-15 13:59:17+00,radiotavisupleba.ge
"სტოლტენბერგი: ჩვენი პრიორიტეტი უკრაინის დახმარებაა, რათა რუსეთის წინააღმდეგ ომი მოიგოს",2023-02-15 14:00:14.644+00,formulanews.ge
"კახა კალაძე - საქართველოს ხელისუფლება ქართული წესებით ითამაშებს - თუ პოლიტიკური გადაწყვეტილება იქნება მიღებული სტატუსის არმიცემასთან დაკავშირებით, ნუ, არ მოგვცემენ და თავისთვის დაიტოვონ",2023-02-15 14:01:00+00,ipn.ge
"პენიტენციურმა დაარღვია კანონი, დღესვე მივმართავთ სპეციალურ საგამოძიებო სამსახურს - ხაჭაპურიძე კადრებზე",2023-02-15 14:01:16+00,mtavari.tv
"ირაკლი ქადაგიშვილი - შეიძლება ითქვას, რომ მიხეილ სააკაშვილი საუკეთესო პირობებშია, აქვს ერთადერთი მოთხოვნა წაყენებული - ნუ მიირთმევ მარტო შავ პურს და ნიორს",2023-02-15 14:02:00+00,ipn.ge
ბადრი ჯაფარიძე - ევროპარლამენტის მიერ კრიტიკული რეზოლუციის მიღება ძალიან ცუდი და დამაზიანებელია ჩვენი ევროკავშირში ინტეგრაციის პროცესისთვის,2023-02-15 14:05:00+00,ipn.ge
"არჩევნები და ქვეყანაში დაბრუნების გზები ემიგრანტებისთვის - პარტია „ლელო"" ახალ პლატფორმას ქმნის",2023-02-15 14:06:00+00,tvpirveli.ge
"დავით მათიკაშვილი: როგორც კი ივანიშვილმა საქართველოს ომში ჩართვის საკითხზე თავისი პოზიცია მკაფიოდ დააფიქსირა, კიდევ უფრო მეტად გააქტიურდა შანტაჟი, რომელიც ამ ადამიანის მიმართ არის, რაც კარგად ჩანს „კრედიტ სუისის“ საქმეში",2023-02-15 14:10:08.397+00,imedinews.ge
წულუკიანის მიმართ მუქარის გამო ქეთა გაბიანს 2 000 ლარის ოდენობით ჯარიმა დაეკისრა,2023-02-15 14:12:24+00,netgazeti.ge
"ეს არის საზოგადოების დაცინვა, არავინ არ მოუწოდებს სააკაშვილს სიკვდილისკენ, პირიქით - გურამ მაჭარაშვილი",2023-02-15 14:13:00+00,rustavi2.ge
„თავისუფლება მიშას“ ამ მოწოდებით ქედაში „ნაციონალური მოძრაობის“ წევრებმა აქცია გამართეს,2023-02-15 14:15:00+00,ipn.ge
"მეუფე შიო - უფლის ნებაა, რომ ყოველ ჩვენგანს შეხვდეს, მან მოგვცა შესაძლებლობა, ჩვენც გავხდეთ ღვთის მიმრქმელები",2023-02-15 14:19:00+00,ipn.ge
"დავით მათიკაშვილი: ის ფაქტი, რომ არასამთავრობო ორგანიზაციების დაფინანსება უნდა იყოს გამჭვირვალე, ეს არის სიმართლე და ეს ასე უნდა იყოს",2023-02-15 14:19:00+00,imedinews.ge
"ბათუმში კორპუსში ჩავარდა ლიფტი, რომელშიც ხუთი ადამიანი იყო",2023-02-15 14:19:05+00,radiotavisupleba.ge
"დავით მათიკაშვილი: რეზოლუცია, რომელშიც მეცენატი ივანიშვილი წარმოდგენილია ოლიგარქად და დამნაშავე სააკაშვილი დემოკრატიისთვის მებრძოლ შუქურად, ჩალის ფასის მატარებელია ჩვენთვის",2023-02-15 14:20:09.238+00,imedinews.ge
საქართველოს აეროპორტების გაერთიანება: უამინდობის მიუხედავად ქუთაისის საერთაშორისო რეისები ჩვეულ რეჟიმში ხორციელდება,2023-02-15 14:20:09.238+00,imedinews.ge
სემეკში წარსადგენი განცხადებისა და საჩივრის ჩაბარება იუსტიციის სახლში იქნება შესაძლებელი,2023-02-15 14:21:00+00,ipn.ge
"ფრიდონ ინჯია: ბოლო დროს გახშირდა ოპოზიციონერებისა და მათთან დაკავშირებული ექსპერტების განცხადებები, რომლებიც საზოგადოებას აჩვევენ აზრს, რომ დასავლური სპეცსამსახურების სასარგებლოდ ჯაშუშობა მისაღებია და სათაკილო არ არის",2023-02-15 14:21:00+00,imedinews.ge
8 წლის ანდრია ბაღიშვილს საზოგადოების დახმარება ჭირდება,2023-02-15 14:23:00+00,rustavi2.ge
სურამის კვანძი-არგვეთას მონაკვეთზე მისაბმელიანი და ნახევრადმისაბმელიანი ავტოტრანსპორტის მოძრაობა აკრძალულია,2023-02-15 14:23:00+00,ipn.ge
"ბულგარეთის ელჩი - ვფიქრობთ, საქართველო მეტს იმსახურებს და იმედი გვაქვს, რომ წლის ბოლოსთვის კანდიდატის სტატუსზე ნათელი და კარგი გადაწყვეტილება გვექნება - ეს საკვანძო მომენტია ქვეყნისთვის",2023-02-15 14:24:00+00,ipn.ge
საქართველოსა და სლოვაკეთის საგარეო საქმეთა მინისტრებმა თანაშრომლობის ოქმი გააფორმეს,2023-02-15 14:26:47+00,civil.ge
"კახა კალაძე „ინტერ რაოზე“ - წარმოგიდგენიათ, ხელი რომ მომეწერა და „ინტერ რაოს“ მიეღო 200 მილიონი დოლარი, რა მოხდებოდა?",2023-02-15 14:27:00+00,ipn.ge
"სტოლტენბერგი: შევთანხმდით გავაგრძელოთ საქართველოს, ბოსნია-ჰერცეგოვინის და მოლდოვის თავდაცვის შესაძლებლობები",2023-02-15 14:27:21+00,radiotavisupleba.ge
"ირაკლი ქადაგიშვილი - ცუდია, რომ ევროპული ფასეულობა, მათ შორის, მედიის და ინფორმაციის გავრცელების თავისუფლება, ასეთი წნეხის ქვეშაა",2023-02-15 14:28:00+00,ipn.ge
ევროპარლამენტმა მიხეილ სააკაშვილის ჯანმრთელობის მდგომარეობის შესახებ რეზოლუცია მიიღო,2023-02-15 14:28:02+00,mtavari.tv
"სალომე სამადაშვილი - „ქართულ ოცნებას“ ევროკავშირისგან დავალება აქვს მიცემული რა უნდა გააკეთოს, სამწუხაროდ, რეალობა ისაა, რომ ამ დავალებიდან დღეს ფაქტობრივად შესრულებული არაფერია",2023-02-15 14:29:00+00,ipn.ge
"ვიქტორ წილოსანი: დაგეგმილი გვაქვს, რომ ძირითად კვანძებზე ავტობუსის საშუალო მოლოდინის დრო 7-8 წუთამდე ჩამოვიყვანოთ ",2023-02-15 14:30:08.438+00,imedinews.ge
ილია დარჩიაშვილთან შეხვედრაზე ბერძენმა კოლეგამ საქართველოს ევროპული ინტეგრაციის მიმართ საბერძნეთის მხარდაჭერა კიდევ ერთხელ დაადასტურა,2023-02-15 14:30:08.438+00,imedinews.ge
"დავით მათიკაშვილი სააკაშვილის ახალ კადრებზე: „ნაციონალური მოძრაობა“ და მასთან დაკავშირებული პირები ძალიან დიდი ხანია ცდილობენ საზოგადოება მოატყუონ, რომ თითქოს სააკაშვილს ციხეში ვინმე აწამებს",2023-02-15 14:30:08.438+00,imedinews.ge
საქართველოს აეროპორტების გაერთიანება: უამინდობის მიუხედავად ქუთაისის საერთაშორისო აეროპორტში რეისები ჩვეულ რეჟიმში ხორციელდება,2023-02-15 14:30:08.438+00,imedinews.ge
დეპუტატი ხსნის რატომ არ შედის “ხალხის ძალის” კანონპროექტი ქვეყნის ინტერესებში,2023-02-15 14:31:12+00,netgazeti.ge
ევროკომისიამ ოფიციალურად წარმოადგინა რუსეთის წინააღმდეგ სანქციების მე-10 პაკეტი,2023-02-15 14:31:41+00,radiotavisupleba.ge
"""დაუწესდეს სანქციები ივანიშვილს"" - ევროპარლამენტმა დაამტკიცა რეზოლუცია ""სააკაშვილის მდგომარეობაზე""",2023-02-15 14:32:45+00,radiotavisupleba.ge
"პაატა მანჯგალაძე - გელათმა გაუძლო ასწლეულებს, გაუძლო იმპერიების შემოტევას, მაგრამ ვერ გაუძლო „ქოციანობის“ 10 წელს",2023-02-15 14:34:00+00,ipn.ge
